date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:24:37	1320/1320	---M--	200	added ('OK')	text/html	etag:%22528-5a1d73be37b6a%22	https://apps.caspio.com/demo18/opp/patient/visits.html	C:/My%20Web%20Sites/httrack/apps.caspio.com/demo18/opp/patient/visits.html	(from )
08:24:38	212/212	---M--	302	error ('Found')	text/html	date:Sat,%2004%20Sep%202021%2012:24:38%20GMT	https://apps.caspio.com/robots.txt		(from )
08:24:38	155758/155758	---M--	200	added ('OK')	text/css	etag:%222606e-5a1d73bc64e7e%22	https://apps.caspio.com/demo18/opp/css/bootstrap.min.css	C:/My%20Web%20Sites/httrack/apps.caspio.com/demo18/opp/css/bootstrap.min.css	(from https://apps.caspio.com/demo18/opp/patient/visits.html)
08:24:38	71146/71146	---M--	200	added ('OK')	text/css	etag:%22115ea-5a1d73bc60ffe%22	https://apps.caspio.com/demo18/opp/css/all.css	C:/My%20Web%20Sites/httrack/apps.caspio.com/demo18/opp/css/all.css	(from https://apps.caspio.com/demo18/opp/patient/visits.html)
08:24:38	8455/8455	---M--	200	added ('OK')	text/css	etag:%222107-5a1d73bc6fa5f%22	https://apps.caspio.com/demo18/opp/css/common.css	C:/My%20Web%20Sites/httrack/apps.caspio.com/demo18/opp/css/common.css	(from https://apps.caspio.com/demo18/opp/patient/visits.html)
08:24:39	69916/69916	---M--	200	added ('OK')	text/javascript	etag:%221111c-5a1d73bdc66df%22	https://apps.caspio.com/demo18/opp/js/jquery-3.3.1.slim.min.js	C:/My%20Web%20Sites/httrack/apps.caspio.com/demo18/opp/js/jquery-3.3.1.slim.min.js	(from https://apps.caspio.com/demo18/opp/patient/visits.html)
08:24:39	21003/21003	---M--	200	added ('OK')	text/javascript	etag:%22520b-5a1d73bdc861f%22	https://apps.caspio.com/demo18/opp/js/popper.min.js	C:/My%20Web%20Sites/httrack/apps.caspio.com/demo18/opp/js/popper.min.js	(from https://apps.caspio.com/demo18/opp/patient/visits.html)
08:24:39	58074/58074	---M--	200	added ('OK')	text/javascript	etag:%22e2da-5a1d73bd9693b%22	https://apps.caspio.com/demo18/opp/js/bootstrap.min.js	C:/My%20Web%20Sites/httrack/apps.caspio.com/demo18/opp/js/bootstrap.min.js	(from https://apps.caspio.com/demo18/opp/patient/visits.html)
08:24:40	4245/4245	---M--	200	added ('OK')	text/javascript	etag:%221095-5a1d73bdb0f1d%22	https://apps.caspio.com/demo18/opp/js/common.js	C:/My%20Web%20Sites/httrack/apps.caspio.com/demo18/opp/js/common.js	(from https://apps.caspio.com/demo18/opp/patient/visits.html)
08:24:40	1212908/1212908	---M--	200	added ('OK')	text/javascript	etag:%221281ec-5a1d73bdb0f1d%22	https://apps.caspio.com/demo18/opp/js/all.js	C:/My%20Web%20Sites/httrack/apps.caspio.com/demo18/opp/js/all.js	(from https://apps.caspio.com/demo18/opp/patient/visits.html)
